"","V1","V2","V3","V4","V5"
"26",0.06,0.52,0.4,0.51819125,0.518755
"27",0.06,0.54,0.6,0.540125,0.54051
"28",0.06,0.56,0.2,0.55936375,0.55909
"29",0.06,0.58,0.6,0.5791,0.57986
"30",0.06,0.6,0.4,0.599645,0.600085
"31",0.06,0.62,0.2,0.61927375,0.6185
"32",0.06,0.64,0.1,0.64083125,0.642025
"33",0.06,0.66,0.2,0.66031375,0.66042
"34",0.06,0.68,0,0.680255,0.679075
"35",0.06,0.7,0.2,0.70161625,0.70206
"36",0.06,0.72,0,0.71940875,0.719135
"37",0.06,0.74,0.2,0.73953125,0.738415
"38",0.06,0.76,0,0.75969875,0.760005
"39",0.06,0.78,0.2,0.78044,0.77965
"40",0.06,0.8,0.1,0.79988875,0.79956
"41",0.06,0.82,0.2,0.81985875,0.82057
"42",0.06,0.84,0,0.8400175,0.840205
"43",0.06,0.86,0,0.85959375,0.8602
"44",0.06,0.88,0,0.88024125,0.880265
"45",0.06,0.9,0.2,0.90016875,0.90096
"46",0.06,0.92,0,0.919985,0.919815
"47",0.06,0.94,0.1,0.9397175,0.939515
"48",0.06,0.96,0.2,0.95969125,0.959545
"49",0.06,0.98,0.1,0.97975375,0.97938
"","V1","V2","V3","V4","V5"
"1",0.08,0.02,5.1,0.0198,0.01983
"2",0.08,0.04,5.7,0.03965625,0.04081
"3",0.08,0.06,4.4,0.060065,0.06045
"4",0.08,0.08,5.1,0.08032125,0.079715
"5",0.08,0.1,3,0.0993925,0.100415
"6",0.08,0.12,2.7,0.11986625,0.120005
"7",0.08,0.14,2.4,0.1410375,0.13914
"8",0.08,0.16,2.8,0.1600775,0.159545
"9",0.08,0.18,2,0.1808425,0.180335
"10",0.08,0.2,2.9,0.20092,0.20042
"11",0.08,0.22,2.2,0.21981875,0.22138
"12",0.08,0.24,2.6,0.23875875,0.238195
"13",0.08,0.26,2.1,0.26051125,0.2613
"14",0.08,0.28,1.7,0.2785225,0.27693
"15",0.08,0.3,1.3,0.30066375,0.30092
"16",0.08,0.32,1.3,0.32062,0.31983
"17",0.08,0.34,0.9,0.3403225,0.341275
"18",0.08,0.36,0.8,0.36066375,0.359465
"19",0.08,0.38,0.4,0.3803525,0.378915
"20",0.08,0.4,0.9,0.39908625,0.399105
"21",0.08,0.42,0.5,0.42024875,0.419895
"22",0.08,0.44,1,0.441705,0.44359
"23",0.08,0.46,0.6,0.4600675,0.461565
"24",0.08,0.48,0.5,0.481265,0.47975
"25",0.08,0.5,0.8,0.499815,0.499245
