Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
24.8359	7694	0	0	0	0
24.8361	4393	2	0	0	0
24.8457	621	1	0	0	0
24.8514	584	4	2	1	0
24.8549	8836	8	4	2	1
24.8653	5488	3	0	0	0
24.8739	1924	1	0	0	0
24.882	2522	1	1	0	0
24.8856	6736	1	1	0	0
24.8959	8509	22	4	2	0
24.9118	4385	2	0	1	0
24.916	7834	2	0	2	0
24.9403	1129	13	3	5	0
24.9479	367	0	0	0	0
25.0159	4332	0	0	0	0
25.0285	1237	6	3	2	1
25.035	64	0	0	0	0
25.0384	2733	13	4	1	0
25.04	526	7	2	5	1
25.0553	2120	0	0	1	1
25.0602	1238	2	1	0	0
25.1041	4516	7	1	1	0
25.1116	9041	1	0	0	0
25.1318	3952	7	5	1	0
25.1319	4509	3	2	1	0
25.1343	9740	0	0	0	0
25.1379	3125	0	0	0	0
25.1424	8869	0	0	0	0
25.1461	4095	2	1	1	0
25.151	9824	7	4	1	0
25.1517	8319	16	1	2	0
25.153	6667	8	0	5	0
25.1598	5835	11	3	1	0
25.1624	1266	1	0	0	0
25.1828	1803	0	0	0	0
25.2123	2905	0	0	1	0
25.2352	9083	4	0	1	0
25.2373	4597	0	0	0	0
25.2463	5124	1	1	1	0
25.279	5936	2	0	0	0
25.2848	6488	6	0	2	1
25.292	2671	0	0	1	1
25.2928	9506	3	1	1	0
25.2929	8124	1	0	0	0
25.3106	4600	5	1	3	1
25.3161	8621	0	0	0	0
25.3313	1167	1	0	1	1
25.3576	8650	0	0	0	0
25.3602	6832	10	4	2	0
25.3753	795	1	0	0	0
25.376	6769	11	2	2	0
25.3833	9229	0	0	1	0
25.3855	9102	2	1	0	0
25.3918	55	8	3	1	0
25.3963	7812	1	0	3	0
25.399	6985	4	1	2	1
25.4062	5199	4	1	0	0
25.4135	1583	1	1	3	0
25.4137	9222	7	0	4	1
25.429	2394	11	2	3	0
25.4294	4622	0	0	1	0
25.433	7301	0	0	1	0
25.451	6884	0	0	0	0
25.4718	5378	1	0	1	0
25.4891	8198	6	1	0	0
25.4962	7257	1	0	0	0
25.5021	3167	9	0	1	0
25.503	2270	3	1	1	0
25.5108	8307	6	2	2	1
25.5218	8456	0	0	0	0
25.5241	4464	0	0	0	0
25.5368	1711	5	2	1	0
25.5471	3761	3	1	0	0
25.5544	4780	2	0	0	0
25.5606	5576	6	1	2	0
25.5624	1427	0	0	0	0
25.5648	6544	2	1	2	0
25.5688	7244	4	1	5	0
25.5699	6824	11	4	1	0
25.5759	4496	1	0	0	0
25.5848	1609	0	0	0	0
25.6136	538	1	1	3	1
25.6253	6172	3	1	4	0
25.6353	4128	4	0	3	0
25.6598	7559	1	0	0	0
25.6861	9799	4	1	1	0
25.6991	9656	11	4	4	0
25.7282	2897	3	0	1	0
25.7531	4885	6	4	1	0
25.7597	9581	0	0	0	0
25.7635	3363	7	2	2	0
25.7686	6739	0	0	1	0
25.7739	8088	1	0	0	0
25.7817	9790	3	1	3	0
25.7891	5898	3	0	1	0
25.8166	8282	3	0	2	0
25.8311	1570	5	1	4	0
25.8332	8067	1	0	2	0
25.8358	1705	2	0	1	1
25.8361	6721	4	1	1	0
25.8625	5176	2	0	0	0
25.8635	9893	3	1	0	0
25.8663	463	3	1	2	0
25.8678	100	9	3	3	0
25.8719	4603	1	0	0	0
25.8746	5700	3	0	0	0
25.8783	8309	3	0	3	1
25.8796	2898	0	0	0	0
25.8849	7487	6	3	4	0
25.9014	7410	4	0	0	0
25.9099	5744	0	0	1	0
25.9121	6994	7	2	1	1
25.9129	9089	1	1	1	0
25.9452	1518	2	0	0	0
25.9832	9281	0	0	0	0
26.0033	5868	1	0	0	0
26.0049	9534	1	0	3	0
26.0064	5979	6	1	2	1
26.0163	5709	9	2	1	0
26.0167	6142	10	2	2	0
26.0178	977	0	0	1	0
26.0288	8861	0	0	1	0
26.0331	3361	0	0	0	0
26.0377	5869	10	2	2	0
26.0555	7	1	1	2	0
26.0688	5059	9	2	3	0
26.0714	3391	4	1	0	0
26.087	2	1	0	0	0
26.0895	1712	4	2	2	0
26.0932	3597	5	1	5	0
26.0952	1774	1	1	0	0
26.1306	5720	2	1	1	1
26.1396	8534	1	0	1	1
26.1705	9784	0	0	0	0
26.1732	7453	0	0	0	0
26.1743	8808	0	0	1	0
26.1849	9840	6	2	2	0
26.1925	7120	6	2	0	0
26.1983	6827	0	0	0	0
26.1984	632	1	1	0	0
26.2039	2388	4	0	1	0
26.2103	6349	11	2	5	0
26.2104	8739	1	1	0	0
26.2134	404	6	1	3	2
26.2144	5612	2	0	0	0
26.2374	6749	0	0	0	0
26.2479	7408	2	0	0	0
26.2553	2097	4	2	2	1
26.2575	1026	0	0	1	0
26.258	9548	0	0	0	0
26.2639	671	1	0	2	0
26.2669	4159	6	0	1	0
26.2711	4142	1	0	0	0
26.2715	8866	3	0	3	1
26.2754	9936	8	3	5	0
26.2824	1895	0	0	0	0
26.2836	4317	2	1	1	0
26.2944	7021	2	0	2	1
26.31	1285	1	0	0	0
26.3125	5971	0	0	0	0
26.3144	3066	1	0	2	0
26.3351	2510	1	0	0	0
26.3429	1408	0	0	0	0
26.3607	6274	0	0	2	1
26.3767	5248	0	0	0	0
26.3788	5361	5	1	0	0
