Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
23.601	66	0	0	0	0
23.6112	4097	1	0	0	0
23.6493	9889	2	0	0	0
23.6641	9049	8	5	2	0
23.6708	3210	1	0	1	0
23.7235	2793	0	0	1	0
23.7507	6695	1	1	0	0
23.8221	7886	0	0	0	0
23.825	5172	3	0	1	1
23.8472	3943	1	0	0	0
23.8561	6370	4	0	0	0
23.9153	3	1	0	0	0
23.9567	2103	3	0	0	0
23.9702	9431	3	2	1	0
23.9752	3191	2	2	0	0
23.9767	8805	2	2	0	0
23.9875	6633	4	2	1	0
24.0106	5223	3	0	0	0
24.0169	4023	1	0	0	0
24.0308	4394	7	0	0	0
24.0456	2611	16	3	0	0
24.0614	4719	11	4	0	0
24.0752	4472	21	5	1	0
24.0773	5477	0	0	0	0
24.1359	5633	2	0	1	0
24.1399	6988	2	0	0	0
24.1657	3911	0	0	0	0
24.1668	7483	5	0	1	0
24.1811	2377	4	3	0	0
24.1906	3682	9	3	2	0
24.1988	1582	2	0	0	0
24.2099	8991	3	0	0	0
24.2375	6547	3	1	1	0
24.2385	4540	6	2	2	0
24.2399	4771	1	0	1	0
24.2433	6815	2	2	0	0
24.2434	67	1	0	1	1
24.2471	9290	1	0	0	0
24.2678	5310	3	0	0	0
24.2868	6189	4	0	1	0
24.3017	3169	0	0	0	0
24.3147	7720	3	1	1	0
24.3485	8895	1	0	0	0
24.3553	5417	3	0	0	0
24.3937	6495	0	0	0	0
24.422	8481	15	7	1	0
24.4327	9818	1	1	1	0
24.4471	4607	6	2	2	0
24.4724	1038	10	3	1	0
24.4745	3349	3	1	1	0
24.4777	151	6	0	1	0
24.5079	7764	4	2	1	0
24.515	3723	6	1	1	0
24.518	6210	12	0	0	0
24.5204	1389	1	0	0	0
24.5224	4776	2	1	0	0
24.5503	9084	7	1	2	0
24.5898	662	3	0	2	0
24.6071	3112	10	3	2	1
24.6123	4705	0	0	0	0
24.6222	833	0	0	0	0
24.6226	7610	3	2	0	0
24.6266	1962	9	2	0	0
24.6485	5546	2	0	1	1
24.6838	6297	0	0	0	0
24.6921	5250	0	0	0	0
24.6964	2574	3	1	0	0
24.7082	5972	8	2	0	0
24.7283	4166	0	0	0	0
24.7549	524	6	0	1	0
24.7732	425	1	0	0	0
24.7757	553	6	5	3	1
24.7847	8373	4	3	1	0
24.8056	7707	0	0	0	0
24.8063	8803	6	3	3	1
24.8213	1589	4	0	1	0
24.8443	2221	3	2	1	1
24.884	6852	0	0	0	0
24.8926	9256	0	0	0	0
24.9171	5279	7	3	1	0
24.9172	6090	5	2	2	0
24.9495	8936	8	2	2	1
24.9527	135	3	0	0	0
24.9586	8702	1	0	0	0
24.9763	9714	13	7	2	1
24.9805	2484	3	2	0	0
25.002	7247	9	1	5	1
25.0122	4841	2	0	0	0
25.0312	7627	2	0	0	0
25.0506	2415	0	0	0	0
25.0564	2254	6	1	2	1
25.0755	2088	1	1	0	0
25.0788	9455	3	0	1	0
25.1127	618	4	2	0	0
25.1147	6319	1	1	2	1
25.173	5935	2	1	0	0
25.1822	5446	2	0	1	1
25.1894	6666	1	0	0	0
25.1931	9103	2	0	0	0
25.2029	1	13	4	1	0
25.2214	5403	10	3	2	0
25.2466	1669	4	2	0	0
25.2672	2314	3	1	1	0
25.2778	1922	1	0	0	0
25.2803	7544	0	0	1	0
25.2822	1208	0	0	0	0
25.2829	7504	1	0	0	0
25.2967	6519	5	0	0	0
25.3081	2281	0	0	0	0
25.3121	6654	1	1	2	0
25.314	7217	3	0	1	0
25.3439	1476	1	0	0	0
25.3942	6924	12	1	4	0
25.3952	6140	8	2	1	1
25.4251	1266	8	3	0	0
25.4272	7490	2	0	0	0
25.4822	2913	0	0	0	0
25.5124	7718	1	0	1	0
25.5261	3078	9	2	0	0
25.5265	3290	0	0	0	0
25.5357	3612	2	0	0	0
25.5436	1210	2	1	1	0
25.5967	9198	0	0	1	0
25.6796	9506	0	0	0	0
25.6864	368	8	1	1	0
25.708	2726	4	0	0	0
