"num_exps","risks","inf"
"343",1,0.00731310860815677,0
"344",2,0.0579591055168558,0
"345",1,0.0301927440545874,0
"346",3,0.0563540401671394,0
"347",1,0.00851658943890877,0
"348",2,0.00389079038517922,0
"349",2,0.211765796961262,0
"350",1,0.148549906685177,0
"351",4,0.226329814186459,0
"352",2,0.00322347603449861,0
"353",2,0.278230815995749,1
"354",1,0.091335553999347,0
"355",3,0.0386969687580424,0
"356",1,0.204976418475315,0
"357",1,0.128194370359544,0
"358",2,0.150068026871331,1
"359",4,0.00975546078053492,0
"360",3,0.0449558229957165,0
"361",2,0.647998030256954,0
"362",3,0.147520089509127,0
"363",2,0.00216924832967695,0
"364",3,0.185054131173761,0
"365",3,0.185908885353502,0
"366",3,0.0264631581731484,0
"367",2,0.263329746446398,0
"368",3,0.00252952605732179,0
"369",1,7.81511419866858e-05,0
"370",2,0.146823205786076,1
"371",4,0.130106425430059,1
"372",3,0.13808245676893,0
"373",2,0.0126512293703605,0
"374",1,0.333437366968263,1
"375",4,0.156792951643173,1
"376",2,0.185183698583415,0
"377",3,0.262662515883749,1
"378",5,0.0782869635341798,1
"379",1,0.376009748231782,1
"380",3,0.235679981832469,0
"381",4,0.0115185701661621,1
"382",1,0.0595614645930205,0
"383",3,0.0355640339493073,0
"384",1,0.00601644204966921,0
"385",3,0.0311354801576433,0
"386",2,0.018881927035664,0
"387",3,0.213170338927065,0
"388",2,0.000184170470104426,0
"389",2,0.00546675109427983,0
"390",1,0.281656832514317,0
"391",1,0.834342582614716,0
"392",1,0.276895836180469,0
"393",3,0.00494676744311287,0
"394",1,0.572541290244435,0
"395",3,0.0624026333683946,0
"396",2,0.242199774473024,0
"397",3,3.43095704162504e-05,0
"398",1,0.494166719219609,0
"399",2,0.148784873829751,0
"400",1,0.0421947891794755,0
"401",2,0.0748228054096706,0
"402",1,0.0122774770652126,0
"403",1,0.815703336999064,0
"404",2,0.126337683975135,0
"405",1,0.938808080399756,1
"406",2,0.0467877559432751,0
"407",3,3.4469120041365e-05,0
"408",3,0.110219281005555,0
"409",3,0.0134272463755696,0
"410",1,0.165774259223459,0
"411",2,0.0612156925711062,0
"412",2,0.122769248738763,0
"413",2,0.568928130759807,0
"414",1,0.0260830965474986,0
"415",2,0.0791141806666556,0
"416",1,0.744726488868934,0
"417",3,0.383221657479867,0
"418",2,0.166254388587021,0
"419",2,0.133010244751652,0
"420",3,0.592116032424839,0
