"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"46",0.92,0,100,0.201344267423121,0.738543,0.0139571828802934,0.82780375,0.0131101076792245,0.3815,0.0456375150811565
"47",0.94,0,100,0.178195558427469,0.742827,0.0139044023029904,0.84574,0.0130906221925999,0.331175,0.0460816437737728
"48",0.96,0,100,0.132821917617746,0.742201,0.0125371359878873,0.86439875,0.0123183522737516,0.25341,0.0392295916478984
"49",0.98,0,100,0.104974482748126,0.73554,0.0119041214756952,0.882295,0.0116862972983124,0.14852,0.0354127613109125
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0.02,6.3,1.48226127211602,0.01776,0.00417993682630155,0.0176675,0.0046546196659055,0.01813,0.00947591119063982
"2",0.04,0.02,5.6,1.3498864045838,0.035878,0.00588079073762191,0.03594375,0.00665692031088893,0.035615,0.0128962431773012
"3",0.06,0.02,4.1,1.40265273988825,0.053663,0.00729867807905663,0.05379,0.00804191814478657,0.053155,0.0156913094479776
"4",0.08,0.02,5.4,1.39459469419744,0.071719,0.00815785447219976,0.07184875,0.00910224762623767,0.0712,0.0179981647379374
"5",0.1,0.02,5,1.42741203779017,0.089897,0.0092286271220891,0.09032125,0.0103236046393811,0.0882,0.0201907817497904
"6",0.12,0.02,5,1.4280553070259,0.10797,0.0096925252150843,0.10830875,0.0107280334469622,0.106615,0.0223644123987629
"7",0.14,0.02,5.5,1.39808728758403,0.125236,0.0103158480369149,0.1259325,0.0115614547521489,0.12245,0.0230733586605826
"8",0.16,0.02,6.5,1.48083455037242,0.143338,0.0108478307246855,0.1437875,0.0116419125524064,0.14154,0.025846594484505
"9",0.18,0.02,4.4,1.32070324822461,0.161549,0.0114295333777558,0.16218875,0.0127732275200428,0.15899,0.0253371638482264
"10",0.2,0.02,5.3,1.40804366620347,0.178679,0.0124489732884257,0.17964,0.0139839309682694,0.174835,0.0275164483523933
"11",0.22,0.02,5.7,1.42690981179153,0.197571,0.0126289528247377,0.199105,0.01391701416552,0.191435,0.0287809680017737
"12",0.24,0.02,5.9,1.44392723617945,0.214747,0.0130931440617379,0.21644,0.0142712146493411,0.207975,0.0288861348017312
"13",0.26,0.02,6.2,1.34159484843939,0.232418,0.0129433692216056,0.23422875,0.0148012098069465,0.225175,0.0297334568029594
"14",0.28,0.02,6.1,1.40714982866879,0.250337,0.0128924647234982,0.252245,0.0144721946994718,0.242705,0.0303492842428624
"15",0.3,0.02,7.5,1.3433751596398,0.267486,0.0144799680066454,0.26977875,0.0160734164275413,0.258315,0.0325075763094931
"16",0.32,0.02,5.5,1.44584104244089,0.285697,0.0140722144035052,0.2881025,0.0159934254745007,0.276075,0.0304425051715709
"17",0.34,0.02,5.9,1.64448498723012,0.302806,0.014464493962306,0.30564875,0.0164785573941195,0.291435,0.0298790651382123
"18",0.36,0.02,7.4,1.3689090087463,0.320194,0.0147878681710734,0.32349125,0.0160938613549021,0.307005,0.033439096102439
"19",0.38,0.02,9.2,1.41063371819939,0.338017,0.0148320160362541,0.3419275,0.0167129722728243,0.322375,0.0342769497517542
"20",0.4,0.02,8.8,1.32594868438843,0.355967,0.0148883032133475,0.36017875,0.016605770459393,0.33912,0.0348868555862046
"21",0.42,0.02,8.2,1.35968367934428,0.373057,0.0156559528569762,0.37804875,0.0173018182238559,0.35309,0.0327318388312248
"22",0.44,0.02,12.4,1.35559986199757,0.390297,0.0156465205270886,0.39611,0.0176084093853216,0.367045,0.0343150185122418
"23",0.46,0.02,12.6,1.38588986051105,0.408038,0.0153589209403673,0.4141975,0.0175037460240622,0.3834,0.0348518959979892
"24",0.48,0.02,17.8,1.23901812468869,0.424779,0.0155848980762804,0.432185,0.0168553738798233,0.395155,0.0369474774658716
"25",0.5,0.02,20.1,1.19728621690909,0.442344,0.0161132026394289,0.450735,0.0178220165602626,0.40878,0.0367288797897596
"26",0.52,0.02,21.4,1.16325541959404,0.459098,0.0168877349455631,0.46807375,0.0188759251160436,0.423195,0.0360224178753952
"27",0.54,0.02,28.1,1.09471267807544,0.47586,0.0158731331612998,0.48602625,0.0179047886022816,0.435195,0.0368598103714686
"28",0.56,0.02,30.7,1.01795266583252,0.492438,0.0162832214042339,0.5037,0.0180556883801998,0.44739,0.0361579216119414
"29",0.58,0.02,35,1.01545075575813,0.50939,0.0156261984525373,0.5216925,0.0175287856703503,0.46018,0.0360696356873565
"30",0.6,0.02,47.7,0.922968230921726,0.526657,0.0158758746025028,0.54125,0.0175392809538013,0.468285,0.0383621614410663
"31",0.62,0.02,53.8,0.862524065324516,0.542178,0.0160422464034707,0.55836625,0.0176956543993751,0.477425,0.0379141379548165
"32",0.64,0.02,55.5,0.863131996601459,0.558639,0.0159742873661662,0.5753875,0.0173553248615821,0.491645,0.039987723028362
"33",0.66,0.02,68.2,0.741944174213632,0.574491,0.0157748142227971,0.59375,0.0170035399364477,0.497455,0.0384841396422475
"34",0.68,0.02,77.6,0.685253795830249,0.591279,0.0162596905424592,0.61285625,0.0174542594976731,0.50497,0.0386845653406575
"35",0.7,0.02,79.7,0.689069486161229,0.606018,0.0161065544762714,0.62902,0.0173337476850452,0.51401,0.0401812696966439
"36",0.72,0.02,90.7,0.59834624383469,0.621463,0.0158869451445527,0.64801375,0.0171720522307415,0.51526,0.0398430655179778
"37",0.74,0.02,95.2,0.576814881335001,0.636835,0.0153475510203525,0.666415,0.0164110739547523,0.518515,0.041834434320245
"38",0.76,0.02,97.8,0.502387059469592,0.651579,0.0153054243657278,0.6841875,0.0158337037652258,0.521145,0.0416304824866596
"39",0.78,0.02,99.3,0.448300558374092,0.66642,0.0153854578193927,0.7029425,0.0166237568871493,0.52033,0.0395196521100946
"40",0.8,0.02,99.8,0.424577265066995,0.679881,0.0151178499922571,0.72072875,0.016032858088188,0.51649,0.0421343708295876
"41",0.82,0.02,100,0.376526549381208,0.691038,0.0150963722945765,0.73753375,0.0156887598497499,0.505055,0.0432532405470136
"42",0.84,0.02,100,0.348232269088084,0.703714,0.0152180745757732,0.75578125,0.015384237410356,0.495445,0.04497332069766
"43",0.86,0.02,100,0.303645236317787,0.714731,0.014939673116666,0.7735575,0.0146298744689412,0.479425,0.0448927581546816
"44",0.88,0.02,100,0.254740115552305,0.725343,0.0141991184925673,0.7921425,0.0142551667309972,0.458145,0.0426362736039024
"45",0.9,0.02,100,0.239034242219864,0.732955,0.0139898066351787,0.81042125,0.0141578001201367,0.42309,0.045859622817954
"46",0.92,0.02,100,0.202262824707996,0.739537,0.014191124656595,0.82740375,0.013290628813256,0.38807,0.0456728706248152
"47",0.94,0.02,100,0.169336211140038,0.742275,0.013112486885115,0.84584125,0.0125676392569963,0.32801,0.0438356186389728
"48",0.96,0.02,100,0.142277895982784,0.741565,0.0124165190349367,0.8637475,0.0117755533800925,0.252835,0.0426316224208067
"49",0.98,0.02,100,0.0992523885236622,0.735551,0.0111637820217447,0.8823875,0.0111951518602998,0.148205,0.0330453471758124
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.02,0.04,5.4,1.44275660568836,0.018027,0.00420332474821289,0.017975,0.00470434701960653,0.018235,0.00944981873233948
"2",0.04,0.04,6.2,1.46255973842503,0.035675,0.00574145794544725,0.03576,0.0065416602111634,0.035335,0.0129954475358356
"3",0.06,0.04,5.7,1.39992057339105,0.053645,0.00728478160572045,0.053735,0.0081639941695717,0.053285,0.01609325224334
"4",0.08,0.04,4.1,1.40821006622401,0.071598,0.00819484908656356,0.071815,0.00920851898091228,0.07073,0.017476341794624
"5",0.1,0.04,6.1,1.3799898107501,0.089973,0.00901351843147361,0.0901475,0.0102808774037137,0.089275,0.020192997106228
"6",0.12,0.04,5.2,1.35729407363534,0.107918,0.00955984658175364,0.10814375,0.0110651575293192,0.107015,0.0207797153871648
"7",0.14,0.04,5.8,1.46392108997802,0.125385,0.0104983327242944,0.12600625,0.0116903031023205,0.1229,0.024206940657092
"8",0.16,0.04,5.7,1.44926843256148,0.142755,0.0108345910565818,0.14329125,0.012086653719522,0.14061,0.0247444981802054
"9",0.18,0.04,5.2,1.50169964892594,0.161597,0.0122766162400845,0.16241625,0.0134423629082858,0.15832,0.0265562202286551
"10",0.2,0.04,6.9,1.40317068018735,0.178513,0.012204211313058,0.17908125,0.0135909547121417,0.17624,0.0285346565885526
"11",0.22,0.04,6.5,1.44026502797697,0.196578,0.0122614133874631,0.19760875,0.0136813756975853,0.192455,0.0286272159402987
"12",0.24,0.04,6.3,1.42483381449388,0.214472,0.0130048584130064,0.2157125,0.0145974888398803,0.20951,0.0295327289982162
"13",0.26,0.04,5.5,1.44117093415449,0.231906,0.0127965196407037,0.2333625,0.0142243954942619,0.22608,0.0293043058669258
"14",0.28,0.04,8,1.52754199106043,0.250504,0.0127754136995713,0.252185,0.014469066275295,0.24378,0.0307173429051921
"15",0.3,0.04,6.9,1.5069467827089,0.267975,0.0144030490807614,0.27067375,0.0159326189555981,0.25718,0.0315308070272835
"16",0.32,0.04,5.7,1.37547072641542,0.286433,0.0148011007558081,0.28910375,0.0166579796711433,0.27575,0.0307861216343547
"17",0.34,0.04,7.3,1.37027935108881,0.302664,0.0141773093392258,0.30548875,0.0157989253425503,0.291365,0.0330348766923395
