"","V1","V2","V3"
"6",0.12,0.14,4.8
"7",0.14,0.14,5.3
"8",0.16,0.14,4.7
"9",0.18,0.14,4.7
"10",0.2,0.14,5.1
"11",0.22,0.14,5.2
"12",0.24,0.14,4.4
"13",0.26,0.14,4.8
"14",0.28,0.14,5.1
"15",0.3,0.14,5.8
"16",0.32,0.14,5.3
"17",0.34,0.14,4.9
"18",0.36,0.14,5.6
"19",0.38,0.14,5.7
"20",0.4,0.14,7
"21",0.42,0.14,4.8
"22",0.44,0.14,5.3
"23",0.46,0.14,6.6
"24",0.48,0.14,6.5
"25",0.5,0.14,6.6
"26",0.52,0.14,6
"27",0.54,0.14,8.9
"28",0.56,0.14,5.4
"29",0.58,0.14,8.4
"30",0.6,0.14,7.6
"31",0.62,0.14,8.5
"32",0.64,0.14,9.3
"33",0.66,0.14,9.7
"34",0.68,0.14,9.8
"35",0.7,0.14,11.3
"36",0.72,0.14,13.5
"37",0.74,0.14,12.7
"38",0.76,0.14,16
"39",0.78,0.14,17.3
"40",0.8,0.14,19.9
"41",0.82,0.14,23.6
"42",0.84,0.14,30.6
"43",0.86,0.14,35
"44",0.88,0.14,40
"45",0.9,0.14,46
"46",0.92,0.14,54.2
"47",0.94,0.14,64.6
"48",0.96,0.14,73
"49",0.98,0.14,78.7
"","V1","V2","V3"
"1",0.02,0.16,6.6
"2",0.04,0.16,3.4
"3",0.06,0.16,4.7
"4",0.08,0.16,5.2
"5",0.1,0.16,4.6
"6",0.12,0.16,6
"7",0.14,0.16,4.4
"8",0.16,0.16,5.5
"9",0.18,0.16,4.9
"10",0.2,0.16,5.3
"11",0.22,0.16,5.3
"12",0.24,0.16,4.2
"13",0.26,0.16,3.3
"14",0.28,0.16,6.1
"15",0.3,0.16,4.1
"16",0.32,0.16,4.9
"17",0.34,0.16,6.5
"18",0.36,0.16,5
"19",0.38,0.16,5.1
"20",0.4,0.16,6.9
"21",0.42,0.16,5.6
"22",0.44,0.16,7.2
"23",0.46,0.16,6
"24",0.48,0.16,7.1
"25",0.5,0.16,5.8
"26",0.52,0.16,6.1
"27",0.54,0.16,6.7
"28",0.56,0.16,7.6
"29",0.58,0.16,8.9
"30",0.6,0.16,7.7
"31",0.62,0.16,8.6
"32",0.64,0.16,9.8
"33",0.66,0.16,8.2
"34",0.68,0.16,11.7
"35",0.7,0.16,9.3
"36",0.72,0.16,13.5
