"","V1","V2","V3","V4","V5"
"1",0.04,0.02,5.7,0.01803125,0.017945
"2",0.04,0.04,4.4,0.036255,0.03566
"3",0.04,0.06,5.1,0.0538025,0.05358
"4",0.04,0.08,5.1,0.071935,0.07067
"5",0.04,0.1,4.7,0.08974875,0.089985
"6",0.04,0.12,5.4,0.10797375,0.107235
"7",0.04,0.14,5.6,0.1256525,0.124145
"8",0.04,0.16,5.6,0.14422375,0.14088
"9",0.04,0.18,5.6,0.16139375,0.1572
"10",0.04,0.2,5.5,0.1800325,0.1752
"11",0.04,0.22,5.2,0.1980075,0.193405
"12",0.04,0.24,5.8,0.21550375,0.20728
"13",0.04,0.26,6,0.23405375,0.2248
"14",0.04,0.28,6.9,0.252495,0.243315
"15",0.04,0.3,6.6,0.27021625,0.257995
"16",0.04,0.32,6.8,0.28869625,0.274555
"17",0.04,0.34,8.5,0.3070125,0.292175
"18",0.04,0.36,8,0.324445,0.306895
"19",0.04,0.38,8.6,0.34190625,0.32075
"20",0.04,0.4,8.9,0.3594725,0.337875
"21",0.04,0.42,10.9,0.37807625,0.35128
"22",0.04,0.44,11,0.39566875,0.369065
"23",0.04,0.46,12.3,0.41443,0.38336
"24",0.04,0.48,16.9,0.43190375,0.39426
"25",0.04,0.5,19.7,0.4501025,0.408655
"26",0.04,0.52,22.2,0.4683975,0.42137
"27",0.04,0.54,24.9,0.4863725,0.436135
"28",0.04,0.56,31.1,0.50370125,0.44587
"29",0.04,0.58,36.4,0.52176875,0.459515
"30",0.04,0.6,44.5,0.53914625,0.46825
"31",0.04,0.62,54.2,0.5582425,0.4778
"32",0.04,0.64,59.7,0.5762925,0.488585
"33",0.04,0.66,70,0.593615,0.49775
"34",0.04,0.68,79.1,0.61167625,0.502795
"35",0.04,0.7,85.6,0.62943375,0.510905
"36",0.04,0.72,93.6,0.64863125,0.512765
"37",0.04,0.74,97.3,0.66520375,0.51765
"38",0.04,0.76,98.9,0.684065,0.520315
"39",0.04,0.78,99.4,0.7020175,0.5155
"40",0.04,0.8,100,0.72072,0.514255
"41",0.04,0.82,100,0.7383725,0.50575
"42",0.04,0.84,100,0.7564675,0.495465
"43",0.04,0.86,100,0.7747225,0.47985
"44",0.04,0.88,100,0.79214,0.45536
"45",0.04,0.9,100,0.81039125,0.426565
"46",0.04,0.92,100,0.82808125,0.385315
"47",0.04,0.94,100,0.84533,0.329875
"48",0.04,0.96,100,0.8644925,0.252595
"49",0.04,0.98,100,0.88192625,0.150655
