"","V1","V2","V3","V4","V5"
"1",3.64063834356207,0.0878575164192372,1,1,-9850.2883087229
"2",3.95921340896112,0.0527667698596781,1,1,-9848.34214079497
"3",2.35309674616073,0.112815576325901,1,1,-9849.67607517487
"4",2.09312542968607,0.196691338196782,1,1,-9850.98687102063
"5",1.93342521794296,0.180047635596832,1,1,-9849.1137191881
"6",2.18419017933327,0.122171566581867,1,1,-9850.37973076843
"7",2.20771231017145,0.102940218820134,1,1,-9847.78050704358
"8",2.36289112321095,0.0905752515975176,1,1,-9850.93417646432
"9",3.67256890798436,0.0855141972322682,1,1,-9849.25857667814
"10",4.94470970624034,0.0822504666392697,1,1,-9850.149751446
"11",2.01627333098667,0.232288090984733,1,1,-9851.29587545411
"12",4.0444508772499,0.0638496952331851,1,1,-9849.08115215443
"13",4.31426456922923,0.0368192549314175,1,1,-9849.25482781027
"14",3.2623792488489,0.0514251928185289,1,1,-9849.42683615757
"15",2.24447929465772,0.102283178303522,1,1,-9849.43976597732
"","V1","V2","V3","V4","V5"
"1",2.31883115339021,0.108891322602251,1,1,-9848.29073995909
"2",2.82582996764883,0.0877711399942322,1,1,-9849.99604114402
"3",2.97934089855848,0.108155887516076,1,1,-9847.40858738094
"4",3.02490872394195,0.0673340425151034,1,1,-9847.84228352511
"5",5.45410701972404,0.0463137761879463,1,1,-9847.39262257714
"6",2.55362720549958,0.0676446499708946,1,1,-9850.47958451744
"7",3.37313610600423,0.110136702830143,1,1,-9849.56474738223
"8",4.45554209089354,0.0607002726148239,1,1,-9849.54263194366
"9",2.79174158947853,0.0766912941169877,1,1,-9850.3366958
"10",2.16591317163352,0.120480327217579,1,1,-9848.7900166583
"11",2.72451261885994,0.132973270664404,1,1,-9848.04634053773
"12",2.54966960419863,0.112375394546629,1,1,-9848.69385297168
"13",2.34335453561068,0.140113834023978,1,1,-9848.65488432309
"14",2.77965923545006,0.0837801643634473,1,1,-9848.18140341208
"15",3.9350112798791,0.0602997722845508,1,1,-9850.12294633079
"","V1","V2","V3","V4","V5"
"1",5.49626495711222,0.0405870420914927,1,1,-9847.70968825344
"2",3.07696656649054,0.131187550548247,1,1,-9847.94372942777
"3",1.8532386273416,0.25885690473017,1,1,-9850.87482955319
"4",2.26132258784476,0.181753819198123,1,1,-9849.42228977654
"5",2.04781442304996,0.147054917309367,1,1,-9847.71692779194
"6",2.18875288216831,0.13207564856861,1,1,-9847.58182138886
"7",1.87362693920803,0.105620869257123,1,1,-9848.58214705237
"8",1.60906793483951,0.0985875907365849,1,1,-9849.30287789239
"9",1.47739753763156,0.110419555895263,1,1,-9850.68990708598
"10",1.47739753763156,0.110419555895263,1,1,-9850.68990708598
"11",1.77149345516249,0.11985270475467,1,1,-9849.96230724602
"12",1.66497691484695,0.118878475512396,1,1,-9849.05144837802
"13",2.04864824414057,0.119955829914279,1,1,-9848.13918717285
"14",2.54706905405301,0.172424112545002,1,1,-9851.22514533804
"15",3.76966652820893,0.0874593881950287,1,1,-9848.49288029197
"","V1","V2","V3","V4","V5"
"1",2.8855970660865,0.0983419880558129,1,1,-9848.77528948207
"2",3.80833344121062,0.0780254442167909,1,1,-9848.8971626279
"3",2.25346229650534,0.101786533444183,1,1,-9848.93172805629
"4",2.76023504555934,0.129777625389755,1,1,-9851.4386885104
"5",2.92395495147228,0.0842491870614059,1,1,-9847.47560301729
"6",2.5374810107503,0.138219890965591,1,1,-9848.61466274756
"7",2.11579364139751,0.192092079332609,1,1,-9848.58804269586
"8",1.84587727602059,0.242877533917975,1,1,-9847.6483070773
"9",1.84587727602059,0.242877533917975,1,1,-9847.6483070773
"10",1.42266808808344,0.27595441896173,1,1,-9851.73181083399
"11",1.33582352253809,0.316122884272517,1,1,-9848.99011615261
"12",1.07759518765016,0.300548117103601,1,1,-9848.78524430288
"13",0.59453255805798,0.633277911197798,1,1,-9852.84855701062
"14",0.604467708159886,0.768415974160265,1,1,-9852.26530823726
"15",0.604467708159886,0.768415974160265,1,1,-9852.26530823726
"","V1","V2","V3","V4","V5"
"1",0.708338953193716,0.62213544426873,1,1,-9849.50461941248
"2",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"3",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"4",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"5",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"6",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"7",0.745776871264112,0.527994315214137,1,1,-9847.94436791868
"8",0.963239638645452,0.446591284956754,1,1,-9848.8913951133
"9",1.17754282950099,0.376111311721396,1,1,-9847.61775944747
"10",1.17754282950099,0.376111311721396,1,1,-9847.61775944747
"11",1.17754282950099,0.376111311721396,1,1,-9847.61775944747
"12",1.17754282950099,0.376111311721396,1,1,-9847.61775944747
